Woche_von;Geplante_Taktleistung;Programmierte_Taktleistung;Tatsächliche_Taktleistung;Gutpackungen;Schlechtpackungen
02.05.2022;10;9,12;7,23;448699;20860
09.05.2022;10;8,08;5,61;470360;23884
16.05.2022;10;8,88;6,95;632213;26070
23.05.2022;10;6,79;4,88;278972;18268
30.05.2022;10;8,03;5,96;695651;34227
06.06.2022;10;8,31;6,03;428387;22605
13.06.2022;10;8,63;6,51;494650;20915
20.06.2022;10;8,39;5,99;509238;33098
27.06.2022;10;8,35;6,63;618439;24437
04.07.2022;10;8,47;3,47;2276;736
11.07.2022;10;7,80;5,63;511932;24930
18.07.2022;10;8,23;6,38;479063;20425
25.07.2022;10;7,39;5,38;615585;23416
