Stunde;Gutpackungen;Schlechtpackungen;Rate_Schlechtpackungen
0;109549;5723;0,052
1;247714;12806;0,052
2;252436;12288;0,049
3;244474;15233;0,062
4;283365;13347;0,047
5;294711;12971;0,044
6;294163;12461;0,042
7;252787;11114;0,044
8;163225;11615;0,071
9;301092;14180;0,047
10;290544;12792;0,044
11;263719;12833;0,049
12;268496;13748;0,051
13;290433;15080;0,052
14;293060;12537;0,043
15;270458;11950;0,044
16;131752;7784;0,059
17;313075;13925;0,044
18;311618;14902;0,048
19;305980;13664;0,045
20;248218;10949;0,044
21;248327;10799;0,043
22;257092;10979;0,043
23;249177;10191;0,041
